Stratford,Pudding Mill Lane,278,226,1
Pudding Mill Lane,Bow Church,226,36,3
Bow Church,Devons Road,36,77,1
Devons Road,Langdon Park,77,167,2
Langdon Park,All Saints,167,7,1
All Saints,Poplar,7,223,2
Poplar,West India Quay,223,320,1
West India Quay,Canary Wharf,320,48,1
